subject,session,experiment_block,experiment_phase,trial_index,pulse_time,log_num,log_time
SC000,0,-1,SYNC_PULSE_TEST,-1,391219346.87112,0,391219.3392247545
SC000,0,-1,SYNC_PULSE_TEST,-1,391220339.718029,0,391220.3392247545
SC000,0,-1,SYNC_PULSE_TEST,-1,391221339.46027297,0,391221.3392247545
SC000,0,-1,SYNC_PULSE_TEST,-1,391222339.80154,0,391222.3392247545
SC000,0,-1,SYNC_PULSE_TEST,-1,391223339.753068,0,391223.3392247545
SC000,0,-1,SYNC_PULSE_TEST,-1,391224339.922373,0,391224.3392247545
SC000,0,-1,SYNC_PULSE_TEST,-1,391225339.80055296,0,391225.3392247545
SC000,0,-1,SYNC_PULSE_TEST,-1,391226339.762928,0,391226.3392247545
SC000,0,-1,SYNC_PULSE_TEST,-1,391227339.758355,0,391227.3392247545
SC000,0,-1,SYNC_PULSE_TEST,-1,391228339.59856796,0,391228.3392247545
SC000,0,0,ENCODING,0,391241548.571988,0,391247.544732121
SC000,0,0,ENCODING,1,391250548.742061,0,391256.544732121
SC000,0,0,ENCODING,2,391259544.929109,0,391265.544732121
SC000,0,0,ENCODING,3,391268548.558855,0,391274.544732121
SC000,0,0,ENCODING,4,391277548.260711,0,391283.544732121
SC000,0,0,ENCODING,5,391286547.44875,0,391292.544732121
SC000,0,0,ENCODING,6,391295547.71221805,0,391301.544732121
SC000,0,0,ENCODING,7,391304547.773344,0,391310.544732121
SC000,0,0,ENCODING,8,391313547.635342,0,391319.544732121
SC000,0,0,ENCODING,9,391322547.92787796,0,391328.544732121
SC000,0,0,ENCODING,10,391331545.20554996,0,391337.544732121
SC000,0,0,ENCODING,11,391340544.82987803,0,391346.544732121
SC000,0,0,ENCODING,12,391349545.081671,0,391355.544732121
SC000,0,0,ENCODING,13,391358545.11360997,0,391364.544732121
SC000,0,0,ENCODING,14,391367544.97850096,0,391373.544732121
SC000,0,0,ENCODING,15,391376544.93566203,0,391382.544732121
SC000,0,0,ENCODING,16,391385544.939684,0,391391.544732121
SC000,0,0,ENCODING,17,391394545.270002,0,391400.544732121
SC000,0,0,ENCODING,18,391403545.366774,0,391409.544732121
SC000,0,0,ENCODING,19,391412545.28878295,0,391418.544732121
SC000,0,0,ENCODING,20,391421545.173016,0,391427.544732121
SC000,0,0,ENCODING,21,391430547.817568,0,391436.544732121
SC000,0,0,ENCODING,22,391439544.870877,0,391445.544732121
SC000,0,0,ENCODING,23,391448545.211459,0,391454.544732121
SC000,0,0,ENCODING,24,391457545.02149796,0,391463.544732121
SC000,0,0,ENCODING,25,391466545.11711395,0,391472.544732121
SC000,0,0,ENCODING,26,391475544.81381,0,391481.544732121
SC000,0,0,ENCODING,27,391484544.814758,0,391490.544732121
SC000,0,0,ENCODING,28,391493544.966924,0,391499.544732121
SC000,0,0,ENCODING,29,391502545.397555,0,391508.544732121
SC000,0,0,ENCODING,30,391511545.43969697,0,391517.544732121
SC000,0,0,ENCODING,31,391520544.808795,0,391526.544732121
SC000,0,0,ENCODING,32,391529545.116038,0,391535.544732121
SC000,0,0,ENCODING,33,391538548.83299303,0,391544.544732121
SC000,0,0,ENCODING,34,391547544.872023,0,391553.544732121
SC000,0,0,ENCODING,35,391556544.865305,0,391562.544732121
SC000,0,0,ENCODING,36,391565548.611542,0,391571.544732121
SC000,0,0,ENCODING,37,391574549.012357,0,391580.544732121
SC000,0,0,ENCODING,38,391583548.578707,0,391589.544732121
SC000,0,0,ENCODING,39,391592547.81010103,0,391598.544732121
SC000,0,0,ENCODING,40,391601548.795418,0,391607.544732121
SC000,0,0,ENCODING,41,391610547.896151,0,391616.544732121
SC000,0,0,ENCODING,42,391619547.49700004,0,391625.544732121
SC000,0,0,ENCODING,43,391628548.122178,0,391634.544732121
SC000,0,0,ENCODING,44,391637547.831859,0,391643.544732121
SC000,0,0,RETRIEVAL,0,391813745.288858,0,391819.740910157
SC000,0,0,RETRIEVAL,1,391822741.35621005,0,391828.740910157
SC000,0,0,RETRIEVAL,2,391831744.021357,0,391837.740910157
SC000,0,0,RETRIEVAL,3,391840745.13142604,0,391846.740910157
SC000,0,0,RETRIEVAL,4,391849741.23771304,0,391855.740910157
SC000,0,0,RETRIEVAL,5,391858744.53626204,0,391864.740910157
SC000,0,0,RETRIEVAL,6,391867744.540631,0,391873.740910157
SC000,0,0,RETRIEVAL,7,391876741.228675,0,391882.740910157
SC000,0,0,RETRIEVAL,8,391885744.337285,0,391891.740910157
SC000,0,0,RETRIEVAL,9,391894743.57631403,0,391900.740910157
SC000,0,0,RETRIEVAL,10,391903743.782593,0,391909.740910157
SC000,0,0,RETRIEVAL,11,391912740.984919,0,391918.740910157
SC000,0,0,RETRIEVAL,12,391921743.365454,0,391927.740910157
SC000,0,0,RETRIEVAL,13,391930743.418172,0,391936.740910157
SC000,0,0,RETRIEVAL,14,391939741.16232395,0,391945.740910157
SC000,0,0,RETRIEVAL,15,391948741.559662,0,391954.740910157
SC000,0,0,RETRIEVAL,16,391957741.43472695,0,391963.740910157
SC000,0,0,RETRIEVAL,17,391966743.904079,0,391972.740910157
SC000,0,0,RETRIEVAL,18,391975743.86650103,0,391981.740910157
SC000,0,0,RETRIEVAL,19,391984741.228444,0,391990.740910157
SC000,0,0,RETRIEVAL,20,391993744.703239,0,391999.740910157
SC000,0,0,RETRIEVAL,21,392002741.567794,0,392008.740910157
SC000,0,0,RETRIEVAL,22,392011741.383899,0,392017.740910157
SC000,0,0,RETRIEVAL,23,392020741.111583,0,392026.740910157
SC000,0,0,RETRIEVAL,24,392029741.24948,0,392035.740910157
SC000,0,0,RETRIEVAL,25,392038744.945362,0,392044.740910157
SC000,0,0,RETRIEVAL,26,392047741.284599,0,392053.740910157
SC000,0,0,RETRIEVAL,27,392056741.08124197,0,392062.740910157
SC000,0,0,RETRIEVAL,28,392065740.998951,0,392071.740910157
SC000,0,0,RETRIEVAL,29,392074744.364075,0,392080.740910157
SC000,0,0,RETRIEVAL,30,392083741.26245904,0,392089.740910157
SC000,0,0,RETRIEVAL,31,392092741.27378297,0,392098.740910157
SC000,0,0,RETRIEVAL,32,392101741.79978,0,392107.740910157
SC000,0,0,RETRIEVAL,33,392110741.59064704,0,392116.740910157
SC000,0,0,RETRIEVAL,34,392119741.17780197,0,392125.740910157
SC000,0,0,RETRIEVAL,35,392128741.998976,0,392134.740910157
SC000,0,0,RETRIEVAL,36,392137741.53522795,0,392143.740910157
SC000,0,0,RETRIEVAL,37,392146741.423091,0,392152.740910157
SC000,0,0,RETRIEVAL,38,392155741.382077,0,392161.740910157
SC000,0,0,RETRIEVAL,39,392164741.134292,0,392170.740910157
SC000,0,0,RETRIEVAL,40,392173743.530177,0,392179.740910157
SC000,0,0,RETRIEVAL,41,392182741.23193103,0,392188.740910157
SC000,0,0,RETRIEVAL,42,392191741.138267,0,392197.740910157
SC000,0,0,RETRIEVAL,43,392200741.242275,0,392206.740910157
SC000,0,0,RETRIEVAL,44,392209743.782515,0,392215.740910157
SC000,0,0,RETRIEVAL,45,392218741.414849,0,392224.740910157
SC000,0,0,RETRIEVAL,46,392227741.157634,0,392233.740910157
SC000,0,0,RETRIEVAL,47,392236743.71299005,0,392242.740910157
SC000,0,0,RETRIEVAL,48,392245741.250981,0,392251.740910157
SC000,0,0,RETRIEVAL,49,392254741.092208,0,392260.740910157
SC000,0,0,RETRIEVAL,50,392263741.78204596,0,392269.740910157
SC000,0,0,RETRIEVAL,51,392272743.66767,0,392278.740910157
SC000,0,0,RETRIEVAL,52,392281743.185282,0,392287.740910157
SC000,0,0,RETRIEVAL,53,392290744.736201,0,392296.740910157
SC000,0,0,RETRIEVAL,54,392299744.26495,0,392305.740910157
SC000,0,0,RETRIEVAL,55,392308744.085491,0,392314.740910157
SC000,0,0,RETRIEVAL,56,392317741.868335,0,392323.740910157
SC000,0,0,RETRIEVAL,57,392326743.571324,0,392332.740910157
SC000,0,0,RETRIEVAL,58,392335741.506879,0,392341.740910157
SC000,0,0,RETRIEVAL,59,392344744.177431,0,392350.740910157
