subject,session,experiment_block,experiment_phase,trial_index,log_num,log_time
SC000,0,0,ENCODING,0,0,381337.078469482
SC000,0,0,ENCODING,1,0,381346.078469482
SC000,0,0,ENCODING,2,0,381355.078469482
SC000,0,0,ENCODING,3,0,381364.078469482
SC000,0,0,ENCODING,4,0,381373.078469482
SC000,0,0,ENCODING,5,0,381382.078469482
SC000,0,0,ENCODING,6,0,381391.078469482
SC000,0,0,ENCODING,7,0,381400.078469482
SC000,0,0,ENCODING,8,0,381409.078469482
SC000,0,0,ENCODING,9,0,381418.078469482
SC000,0,0,ENCODING,10,0,381427.078469482
SC000,0,0,ENCODING,11,0,381436.078469482
SC000,0,0,ENCODING,12,0,381445.078469482
SC000,0,0,ENCODING,13,0,381454.078469482
SC000,0,0,ENCODING,14,0,381463.078469482
SC000,0,0,ENCODING,15,0,381472.078469482
SC000,0,0,ENCODING,16,0,381481.078469482
SC000,0,0,ENCODING,17,0,381490.078469482
SC000,0,0,ENCODING,18,0,381499.078469482
SC000,0,0,ENCODING,19,0,381508.078469482
SC000,0,0,ENCODING,20,0,381517.078469482
SC000,0,0,ENCODING,21,0,381526.078469482
SC000,0,0,ENCODING,22,0,381535.078469482
SC000,0,0,ENCODING,23,0,381544.078469482
SC000,0,0,ENCODING,24,0,381553.078469482
SC000,0,0,ENCODING,25,0,381562.078469482
SC000,0,0,ENCODING,26,0,381571.078469482
SC000,0,0,ENCODING,27,0,381580.078469482
SC000,0,0,ENCODING,28,0,381589.078469482
SC000,0,0,ENCODING,29,0,381598.078469482
SC000,0,0,ENCODING,30,0,381607.078469482
SC000,0,0,ENCODING,31,0,381616.078469482
SC000,0,0,ENCODING,32,0,381625.078469482
SC000,0,0,ENCODING,33,0,381634.078469482
SC000,0,0,ENCODING,34,0,381643.078469482
SC000,0,0,ENCODING,35,0,381652.078469482
SC000,0,0,ENCODING,36,0,381661.078469482
SC000,0,0,ENCODING,37,0,381670.078469482
SC000,0,0,ENCODING,38,0,381679.078469482
SC000,0,0,ENCODING,39,0,381688.078469482
SC000,0,0,ENCODING,40,0,381697.078469482
SC000,0,0,ENCODING,41,0,381706.078469482
SC000,0,0,ENCODING,42,0,381715.078469482
SC000,0,0,ENCODING,43,0,381724.078469482
SC000,0,0,ENCODING,44,0,381733.078469482
SC000,0,0,RETRIEVAL,0,0,381902.242528088
SC000,0,0,RETRIEVAL,1,0,381911.242528088
SC000,0,0,RETRIEVAL,2,0,381920.242528088
SC000,0,0,RETRIEVAL,3,0,381929.242528088
SC000,0,0,RETRIEVAL,4,0,381938.242528088
SC000,0,0,RETRIEVAL,5,0,381947.242528088
SC000,0,0,RETRIEVAL,6,0,381956.242528088
SC000,0,0,RETRIEVAL,7,0,381965.242528088
SC000,0,0,RETRIEVAL,8,0,381974.242528088
SC000,0,0,RETRIEVAL,9,0,381983.242528088
SC000,0,0,RETRIEVAL,10,0,381992.242528088
SC000,0,0,RETRIEVAL,11,0,382001.242528088
SC000,0,0,RETRIEVAL,12,0,382010.242528088
SC000,0,0,RETRIEVAL,13,0,382019.242528088
SC000,0,0,RETRIEVAL,14,0,382028.242528088
SC000,0,0,RETRIEVAL,15,0,382037.242528088
SC000,0,0,RETRIEVAL,16,0,382046.242528088
SC000,0,0,RETRIEVAL,17,0,382055.242528088
SC000,0,0,RETRIEVAL,18,0,382064.242528088
SC000,0,0,RETRIEVAL,19,0,382073.242528088
SC000,0,0,RETRIEVAL,20,0,382082.242528088
SC000,0,0,RETRIEVAL,21,0,382091.242528088
SC000,0,0,RETRIEVAL,22,0,382100.242528088
SC000,0,0,RETRIEVAL,23,0,382109.242528088
SC000,0,0,RETRIEVAL,24,0,382118.242528088
SC000,0,0,RETRIEVAL,25,0,382127.242528088
SC000,0,0,RETRIEVAL,26,0,382136.242528088
SC000,0,0,RETRIEVAL,27,0,382145.242528088
SC000,0,0,RETRIEVAL,28,0,382154.242528088
SC000,0,0,RETRIEVAL,29,0,382163.242528088
SC000,0,0,RETRIEVAL,30,0,382172.242528088
SC000,0,0,RETRIEVAL,31,0,382181.242528088
SC000,0,0,RETRIEVAL,32,0,382190.242528088
SC000,0,0,RETRIEVAL,33,0,382199.242528088
SC000,0,0,RETRIEVAL,34,0,382208.242528088
SC000,0,0,RETRIEVAL,35,0,382217.242528088
SC000,0,0,RETRIEVAL,36,0,382226.242528088
SC000,0,0,RETRIEVAL,37,0,382235.242528088
SC000,0,0,RETRIEVAL,38,0,382244.242528088
SC000,0,0,RETRIEVAL,39,0,382253.242528088
SC000,0,0,RETRIEVAL,40,0,382262.242528088
SC000,0,0,RETRIEVAL,41,0,382271.242528088
SC000,0,0,RETRIEVAL,42,0,382280.242528088
SC000,0,0,RETRIEVAL,43,0,382289.242528088
SC000,0,0,RETRIEVAL,44,0,382298.242528088
SC000,0,0,RETRIEVAL,45,0,382307.242528088
SC000,0,0,RETRIEVAL,46,0,382316.242528088
SC000,0,0,RETRIEVAL,47,0,382325.242528088
SC000,0,0,RETRIEVAL,48,0,382334.242528088
SC000,0,0,RETRIEVAL,49,0,382343.242528088
SC000,0,0,RETRIEVAL,50,0,382352.242528088
SC000,0,0,RETRIEVAL,51,0,382361.242528088
SC000,0,0,RETRIEVAL,52,0,382370.242528088
SC000,0,0,RETRIEVAL,53,0,382379.242528088
SC000,0,0,RETRIEVAL,54,0,382388.242528088
SC000,0,0,RETRIEVAL,55,0,382397.242528088
SC000,0,0,RETRIEVAL,56,0,382406.242528088
SC000,0,0,RETRIEVAL,57,0,382415.242528088
SC000,0,0,RETRIEVAL,58,0,382424.242528088
SC000,0,0,RETRIEVAL,59,0,382433.242528088
