type,time,data,id
CONNECTED,381271453,{},1
CONNECTED_OK,2025-09-09/11/25_20-37-45_421561,{},1
CONFIGURE,381271455,"{'stim_mode': 'none', 'experiment': 'associative_recogntion_elemem', 'subject': 'SC000', 'tags': []}",2
CONFIGURE_OK,2025-09-09/11/25_20-37-45_422953,"{'stim_mode': 'none', 'experiment': 'associative_recogntion_elemem', 'subject': 'SC000', 'tags': []}",2
READY,381271456,{},3
READY_OK,2025-09-09/11/25_20-37-45_423705,{},3
HEARTBEAT,381271457,{'count': 1},4
HEARTBEAT_OK,2025-09-09/11/25_20-37-45_424338,{'count': 1},4
HEARTBEAT,381271562,{'count': 2},5
HEARTBEAT_OK,2025-09-09/11/25_20-37-45_529904,{'count': 2},5
HEARTBEAT,381271668,{'count': 3},6
HEARTBEAT_OK,2025-09-09/11/25_20-37-45_636293,{'count': 3},6
HEARTBEAT,381271772,{'count': 4},7
HEARTBEAT_OK,2025-09-09/11/25_20-37-45_740486,{'count': 4},7
HEARTBEAT,381271881,{'count': 5},8
HEARTBEAT_OK,2025-09-09/11/25_20-37-45_850533,{'count': 5},8
HEARTBEAT,381271987,{'count': 6},9
HEARTBEAT_OK,2025-09-09/11/25_20-37-45_954412,{'count': 6},9
HEARTBEAT,381272088,{'count': 7},10
HEARTBEAT_OK,2025-09-09/11/25_20-37-46_055756,{'count': 7},10
HEARTBEAT,381272195,{'count': 8},11
HEARTBEAT_OK,2025-09-09/11/25_20-37-46_163018,{'count': 8},11
HEARTBEAT,381272298,{'count': 9},12
HEARTBEAT_OK,2025-09-09/11/25_20-37-46_266190,{'count': 9},12
HEARTBEAT,381272405,{'count': 10},13
HEARTBEAT_OK,2025-09-09/11/25_20-37-46_373224,{'count': 10},13
HEARTBEAT,381272512,{'count': 11},14
HEARTBEAT_OK,2025-09-09/11/25_20-37-46_479887,{'count': 11},14
HEARTBEAT,381272619,{'count': 12},15
HEARTBEAT_OK,2025-09-09/11/25_20-37-46_586950,{'count': 12},15
HEARTBEAT,381272722,{'count': 13},16
HEARTBEAT_OK,2025-09-09/11/25_20-37-46_689692,{'count': 13},16
HEARTBEAT,381272826,{'count': 14},17
HEARTBEAT_OK,2025-09-09/11/25_20-37-46_794066,{'count': 14},17
HEARTBEAT,381272933,{'count': 15},18
HEARTBEAT_OK,2025-09-09/11/25_20-37-46_901151,{'count': 15},18
HEARTBEAT,381273038,{'count': 16},19
HEARTBEAT_OK,2025-09-09/11/25_20-37-47_005641,{'count': 16},19
HEARTBEAT,381273145,{'count': 17},20
HEARTBEAT_OK,2025-09-09/11/25_20-37-47_112684,{'count': 17},20
HEARTBEAT,381273251,{'count': 18},21
HEARTBEAT_OK,2025-09-09/11/25_20-37-47_218603,{'count': 18},21
HEARTBEAT,381273355,{'count': 19},22
HEARTBEAT_OK,2025-09-09/11/25_20-37-47_322811,{'count': 19},22
HEARTBEAT,381273462,{'count': 20},23
HEARTBEAT_OK,2025-09-09/11/25_20-37-47_429877,{'count': 20},23
HEARTBEAT,381273565,{'count': 21},24
HEARTBEAT_OK,2025-09-09/11/25_20-37-47_533293,{'count': 21},24
HEARTBEAT,381273673,{'count': 22},25
HEARTBEAT_OK,2025-09-09/11/25_20-37-47_640385,{'count': 22},25
HEARTBEAT,381273778,{'count': 23},26
HEARTBEAT_OK,2025-09-09/11/25_20-37-47_745485,{'count': 23},26
HEARTBEAT,381273883,{'count': 24},27
HEARTBEAT_OK,2025-09-09/11/25_20-37-47_850713,{'count': 24},27
HEARTBEAT,381273985,{'count': 25},28
HEARTBEAT_OK,2025-09-09/11/25_20-37-47_953242,{'count': 25},28
HEARTBEAT,381274092,{'count': 26},29
HEARTBEAT_OK,2025-09-09/11/25_20-37-48_059757,{'count': 26},29
HEARTBEAT,381274197,{'count': 27},30
HEARTBEAT_OK,2025-09-09/11/25_20-37-48_164946,{'count': 27},30
HEARTBEAT,381274301,{'count': 28},31
HEARTBEAT_OK,2025-09-09/11/25_20-37-48_269221,{'count': 28},31
HEARTBEAT,381274405,{'count': 29},32
HEARTBEAT_OK,2025-09-09/11/25_20-37-48_372867,{'count': 29},32
HEARTBEAT,381274512,{'count': 30},33
HEARTBEAT_OK,2025-09-09/11/25_20-37-48_479880,{'count': 30},33
HEARTBEAT,381274618,{'count': 31},34
HEARTBEAT_OK,2025-09-09/11/25_20-37-48_585457,{'count': 31},34
HEARTBEAT,381274722,{'count': 32},35
HEARTBEAT_OK,2025-09-09/11/25_20-37-48_689527,{'count': 32},35
HEARTBEAT,381274829,{'count': 33},36
HEARTBEAT_OK,2025-09-09/11/25_20-37-48_796607,{'count': 33},36
HEARTBEAT,381274934,{'count': 34},37
HEARTBEAT_OK,2025-09-09/11/25_20-37-48_901396,{'count': 34},37
HEARTBEAT,381275038,{'count': 35},38
HEARTBEAT_OK,2025-09-09/11/25_20-37-49_006055,{'count': 35},38
