subject,session,experiment_block,experiment_phase,trial_index,top_word,bottom_word,study_answer,test_condition,study_response,study_time_to_respond,test_response,test_time_to_respond,log_num,log_time
SC000,0,0,ENCODING,0,BURGER,TUNDRA,top,same,A,2354.4398979865946,none,-999,0,381337.078469482
SC000,0,0,ENCODING,1,TRAILER,GRANOLA,bottom,same,S,1906.7820885102265,none,-999,0,381346.078469482
SC000,0,0,ENCODING,2,PAN,TELEGRAM,bottom,same,S,1881.3273060368374,none,-999,0,381355.078469482
SC000,0,0,ENCODING,3,DOORWAY,DUMPLING,bottom,same,S,1502.7968694921583,none,-999,0,381364.078469482
SC000,0,0,ENCODING,4,UNCLE,MOSAIC,bottom,rearranged,S,2104.9268865026534,none,-999,0,381373.078469482
SC000,0,0,ENCODING,5,MUTTON,STOOL,bottom,same,A,2303.8988474872895,none,-999,0,381382.078469482
SC000,0,0,ENCODING,6,PLUNGER,APRON,top,rearranged,A,2524.5545959915034,none,-999,0,381391.078469482
SC000,0,0,ENCODING,7,FLOUR,INCUBATOR,top,rearranged,A,2028.5831204382703,none,-999,0,381400.078469482
SC000,0,0,ENCODING,8,WALLET,GORILLA,top,same,A,1664.6335254772566,none,-999,0,381409.078469482
SC000,0,0,ENCODING,9,CROISSANT,PYTHON,top,rearranged,A,285.19173053791746,none,-999,0,381418.078469482
SC000,0,0,ENCODING,10,ICICLE,LIGHT,bottom,same,A,2056.3898609834723,none,-999,0,381427.078469482
SC000,0,0,ENCODING,11,FABRIC,TOOTHPICK,bottom,rearranged,S,2351.6779839992523,none,-999,0,381436.078469482
SC000,0,0,ENCODING,12,PAPER,OCEAN,top,same,A,1017.4536735285074,none,-999,0,381445.078469482
SC000,0,0,ENCODING,13,STUDIO,THIGH,bottom,same,S,1992.3337160144001,none,-999,0,381454.078469482
SC000,0,0,ENCODING,14,REFEREE,MANGO,bottom,same,S,1302.0941035356373,none,-999,0,381463.078469482
SC000,0,0,ENCODING,15,DENTIST,HYDRANT,bottom,same,S,1963.963545509614,none,-999,0,381472.078469482
SC000,0,0,ENCODING,16,COD,YACHT,top,same,A,2001.2488684733398,none,-999,0,381481.078469482
SC000,0,0,ENCODING,17,SHOELACE,CASHMERE,top,rearranged,A,2655.3347224835306,none,-999,0,381490.078469482
SC000,0,0,ENCODING,18,VIPER,DOG,bottom,rearranged,A,2233.2605330157094,none,-999,0,381499.078469482
SC000,0,0,ENCODING,19,GULF,ANCHOVY,bottom,rearranged,A,-18.40621349401772,none,-999,0,381508.078469482
SC000,0,0,ENCODING,20,TROUT,BULLDOZER,top,same,A,1702.613206463866,none,-999,0,381517.078469482
SC000,0,0,ENCODING,21,VERMIN,YARD,top,rearranged,A,251.14933197619393,none,-999,0,381526.078469482
SC000,0,0,ENCODING,22,NUN,PLANK,bottom,rearranged,S,2430.9570125187747,none,-999,0,381535.078469482
SC000,0,0,ENCODING,23,BACKPACK,PEBBLE,bottom,rearranged,S,1509.0927834971808,none,-999,0,381544.078469482
SC000,0,0,ENCODING,24,FOREST,MAPLE,bottom,same,S,2515.5051860492676,none,-999,0,381553.078469482
SC000,0,0,ENCODING,25,COTTON,SPATULA,bottom,same,A,2060.2375789894722,none,-999,0,381562.078469482
SC000,0,0,ENCODING,26,JACKET,PIG,bottom,same,S,2298.309103527572,none,-999,0,381571.078469482
SC000,0,0,ENCODING,27,QUILL,LIMOUSINE,top,same,A,2066.825598536525,none,-999,0,381580.078469482
SC000,0,0,ENCODING,28,DEPUTY,BEARD,bottom,same,S,1694.7077109944075,none,-999,0,381589.078469482
SC000,0,0,ENCODING,29,ALFALFA,MOTHER,top,same,A,2291.746051516384,none,-999,0,381598.078469482
SC000,0,0,ENCODING,30,PILL,LAWNMOWER,top,same,A,2027.132913004607,none,-999,0,381607.078469482
SC000,0,0,ENCODING,31,NURSE,SALINE,bottom,rearranged,S,1633.467368024867,none,-999,0,381616.078469482
