subject,session,experiment_block,experiment_phase,trial_index,log_num,log_time
SC000,0,0,ENCODING,0,0,338711.8595518265
SC000,0,0,ENCODING,1,0,338720.8595518265
SC000,0,0,ENCODING,2,0,338729.8595518265
SC000,0,0,ENCODING,3,0,338738.8595518265
SC000,0,0,ENCODING,4,0,338747.8595518265
SC000,0,0,ENCODING,5,0,338756.8595518265
SC000,0,0,ENCODING,6,0,338765.8595518265
SC000,0,0,ENCODING,7,0,338774.8595518265
SC000,0,0,ENCODING,8,0,338783.8595518265
SC000,0,0,ENCODING,9,0,338792.8595518265
SC000,0,0,ENCODING,10,0,338801.8595518265
SC000,0,0,ENCODING,11,0,338810.8595518265
SC000,0,0,ENCODING,12,0,338819.8595518265
SC000,0,0,ENCODING,13,0,338828.8595518265
SC000,0,0,ENCODING,14,0,338837.8595518265
SC000,0,0,ENCODING,15,0,338846.8595518265
SC000,0,0,ENCODING,16,0,338855.8595518265
SC000,0,0,ENCODING,17,0,338864.8595518265
SC000,0,0,ENCODING,18,0,338873.8595518265
SC000,0,0,ENCODING,19,0,338882.8595518265
SC000,0,0,ENCODING,20,0,338891.8595518265
SC000,0,0,ENCODING,21,0,338900.8595518265
SC000,0,0,ENCODING,22,0,338909.8595518265
SC000,0,0,ENCODING,23,0,338918.8595518265
SC000,0,0,ENCODING,24,0,338927.8595518265
SC000,0,0,ENCODING,25,0,338936.8595518265
SC000,0,0,ENCODING,26,0,338945.8595518265
SC000,0,0,ENCODING,27,0,338954.8595518265
SC000,0,0,ENCODING,28,0,338963.8595518265
SC000,0,0,ENCODING,29,0,338972.8595518265
SC000,0,0,ENCODING,30,0,338981.8595518265
SC000,0,0,ENCODING,31,0,338990.8595518265
SC000,0,0,ENCODING,32,0,338999.8595518265
SC000,0,0,ENCODING,33,0,339008.8595518265
SC000,0,0,ENCODING,34,0,339017.8595518265
SC000,0,0,ENCODING,35,0,339026.8595518265
SC000,0,0,ENCODING,36,0,339035.8595518265
SC000,0,0,ENCODING,37,0,339044.8595518265
SC000,0,0,ENCODING,38,0,339053.8595518265
SC000,0,0,ENCODING,39,0,339062.8595518265
SC000,0,0,ENCODING,40,0,339071.8595518265
SC000,0,0,ENCODING,41,0,339080.8595518265
SC000,0,0,ENCODING,42,0,339089.8595518265
SC000,0,0,ENCODING,43,0,339098.8595518265
SC000,0,0,ENCODING,44,0,339107.8595518265
SC000,0,0,RETRIEVAL,0,0,339276.35983947245
