subject,session,experiment_block,experiment_phase,trial_index,sync_time,orient_time,trial_time,response_time,log_num,log_time
SC000,0,0,ENCODING,0,338705864.21663904,338705903.879053,338707875.86151904,,0,338711.8595518265
SC000,0,0,ENCODING,1,338714860.041207,338714892.17165,338716878.279253,,0,338720.8595518265
SC000,0,0,ENCODING,2,338723859.82493,338723902.106515,338725871.834427,,0,338729.8595518265
SC000,0,0,ENCODING,3,338732859.841989,338732893.964416,338734863.90399504,,0,338738.8595518265
SC000,0,0,ENCODING,4,338741860.26073897,338741899.701276,338743870.01199,,0,338747.8595518265
SC000,0,0,ENCODING,5,338750859.741359,338750888.445223,338752878.27417,,0,338756.8595518265
SC000,0,0,ENCODING,6,338759860.404542,338759894.623113,338761864.505971,,0,338765.8595518265
SC000,0,0,ENCODING,7,338768859.881031,338768891.721697,338770877.93902403,,0,338774.8595518265
SC000,0,0,ENCODING,8,338777859.822374,338777899.606678,338779869.951649,,0,338783.8595518265
SC000,0,0,ENCODING,9,338786860.157435,338786899.789684,338788869.00137705,,0,338792.8595518265
SC000,0,0,ENCODING,10,338795860.05573,338795893.25274897,338797863.153372,,0,338801.8595518265
SC000,0,0,ENCODING,11,338804859.707936,338804895.949629,338806865.722927,,0,338810.8595518265
SC000,0,0,ENCODING,12,338813859.915537,338813898.557261,338815868.40542203,,0,338819.8595518265
SC000,0,0,ENCODING,13,338822859.65308,338822887.573299,338824877.468271,,0,338828.8595518265
SC000,0,0,ENCODING,14,338831859.65275604,338831887.67116696,338833876.704361,,0,338837.8595518265
SC000,0,0,ENCODING,15,338840860.157619,338840893.63027495,338842863.169108,,0,338846.8595518265
SC000,0,0,ENCODING,16,338849859.72520596,338849901.764055,338851871.596875,,0,338855.8595518265
SC000,0,0,ENCODING,17,338858859.927014,338858891.599853,338860878.20486003,,0,338864.8595518265
SC000,0,0,ENCODING,18,338867860.168831,338867891.56719404,338869877.77584404,,0,338873.8595518265
SC000,0,0,ENCODING,19,338876860.052059,338876899.301296,338878869.73783004,,0,338882.8595518265
SC000,0,0,ENCODING,20,338885860.059503,338885887.378168,338887876.401622,,0,338891.8595518265
SC000,0,0,ENCODING,21,338894860.108895,338894898.776542,338896868.878284,,0,338900.8595518265
SC000,0,0,ENCODING,22,338903859.747796,338903889.562751,338905875.777537,,0,338909.8595518265
SC000,0,0,ENCODING,23,338912860.202196,338912890.342854,338914876.41264,,0,338918.8595518265
SC000,0,0,ENCODING,24,338921860.07177603,338921890.583431,338923877.02689,,0,338927.8595518265
SC000,0,0,ENCODING,25,338930859.950062,338930892.062764,338932878.146476,,0,338936.8595518265
SC000,0,0,ENCODING,26,338939860.075703,338939890.692316,338941877.899446,,0,338945.8595518265
SC000,0,0,ENCODING,27,338948859.8641,338948897.531837,338950868.22898203,,0,338954.8595518265
SC000,0,0,ENCODING,28,338957859.658874,338957888.446068,338959875.137006,,0,338963.8595518265
SC000,0,0,ENCODING,29,338966859.801888,338966891.170197,338968878.718444,,0,338972.8595518265
SC000,0,0,ENCODING,30,338975860.018773,338975939.629514,338977876.01228,,0,338981.8595518265
SC000,0,0,ENCODING,31,338984860.19559,338984890.764979,338986876.85352904,,0,338990.8595518265
SC000,0,0,ENCODING,32,338993859.85923195,338993898.147966,338995868.164102,,0,338999.8595518265
SC000,0,0,ENCODING,33,339002860.061959,339002887.364313,339004875.4334,,0,339008.8595518265
SC000,0,0,ENCODING,34,339011859.72605,339011896.626139,339013866.45821697,,0,339017.8595518265
SC000,0,0,ENCODING,35,339020860.081387,339020897.404738,339022867.352929,,0,339026.8595518265
SC000,0,0,ENCODING,36,339029859.984393,339029890.07552,339031876.383309,,0,339035.8595518265
SC000,0,0,ENCODING,37,339038860.114047,339038896.30725104,339040867.139397,,0,339044.8595518265
SC000,0,0,ENCODING,38,339047859.864012,339047887.188924,339049873.780588,,0,339053.8595518265
SC000,0,0,ENCODING,39,339056860.096651,339056891.09513795,339058877.673795,,0,339062.8595518265
SC000,0,0,ENCODING,40,339065865.237957,339065889.109877,339067875.442259,,0,339071.8595518265
SC000,0,0,ENCODING,41,339074860.10253096,339074897.143528,339076866.961563,,0,339080.8595518265
SC000,0,0,ENCODING,42,339083860.138218,339083887.985514,339085874.354548,,0,339089.8595518265
SC000,0,0,ENCODING,43,339092859.649339,339092895.575683,339094865.43109,,0,339098.8595518265
SC000,0,0,ENCODING,44,339101864.761586,339101886.300323,339103873.336444,,0,339107.8595518265
SC000,0,0,RETRIEVAL,0,339270366.193075,339270404.05967903,339272373.459876,,0,339276.35983947245
SC000,0,0,RETRIEVAL,1,339279360.46776,339279392.407567,339281378.875218,,0,339285.35983947245
SC000,0,0,RETRIEVAL,2,339288360.37737,339288393.81633,339290363.72552603,,0,339294.35983947245
SC000,0,0,RETRIEVAL,3,339297364.857768,339297386.14932805,339299372.710963,,0,339303.35983947245
SC000,0,0,RETRIEVAL,4,339306360.166305,339306398.14970297,339308372.04776096,,0,339312.35983947245
SC000,0,0,RETRIEVAL,5,339315360.01716405,339315392.081526,339317378.40884,,0,339321.35983947245
SC000,0,0,RETRIEVAL,6,339324359.997453,339324397.827193,339326370.093773,,0,339330.35983947245
SC000,0,0,RETRIEVAL,7,339333365.994313,339333387.996568,339335374.32722,,0,339339.35983947245
SC000,0,0,RETRIEVAL,8,339342360.373136,339342397.33542895,339344369.908721,,0,339348.35983947245
SC000,0,0,RETRIEVAL,9,339351360.412482,339351393.599051,339353363.246496,,0,339357.35983947245
SC000,0,0,RETRIEVAL,10,339360360.064323,339360397.81237596,339362369.54797405,,0,339366.35983947245
SC000,0,0,RETRIEVAL,11,339369360.454718,339369392.947458,339371379.27351797,,0,339375.35983947245
SC000,0,0,RETRIEVAL,12,339378360.65711904,339378401.662177,339380371.42693,,0,339384.35983947245
SC000,0,0,RETRIEVAL,13,339387360.178904,339387387.471418,339389373.969567,,0,339393.35983947245
SC000,0,0,RETRIEVAL,14,339396359.96584404,339396392.09430504,339398378.50380504,,0,339402.35983947245
SC000,0,0,RETRIEVAL,15,339405360.25017697,339405399.512495,339407369.51348597,,0,339411.35983947245
