subject,session,experiment_phase,trial_index,log_num,log_time
SC000,0,STUDY1,0,0,326539.90196890547
SC000,0,STUDY1,1,0,326546.9655656755
SC000,0,STUDY1,2,0,326554.724498473
SC000,0,STUDY1,3,0,326561.7928325245
SC000,0,STUDY1,4,0,326568.694964426
SC000,0,STUDY1,5,0,326575.549750969
SC000,0,STUDY1,6,0,326582.338971235
SC000,0,STUDY1,7,0,326589.50184078154
SC000,0,STUDY1,8,0,326595.9915070675
SC000,0,STUDY1,9,0,326603.348667706
SC000,0,STUDY1,10,0,326610.300145342
SC000,0,STUDY1,11,0,326616.755603738
SC000,0,STUDY1,12,0,326625.0540068955
SC000,0,STUDY1,13,0,326632.948713831
SC000,0,STUDY1,14,0,326640.470037409
SC000,0,STUDY1,15,0,326647.58113397704
SC000,0,STUDY1,16,0,326654.664614037
SC000,0,STUDY1,17,0,326661.2241879275
SC000,0,STUDY1,18,0,326668.07644258754
SC000,0,STUDY1,19,0,326674.770974513
SC000,0,STUDY1,20,0,326681.2710886245
SC000,0,STUDY1,21,0,326688.4565170295
SC000,0,STUDY1,22,0,326695.3154693895
SC000,0,STUDY1,23,0,326702.238909792
SC000,0,STUDY1,24,0,326710.033550256
SC000,0,STUDY1,25,0,326716.9728385065
SC000,0,STUDY1,26,0,326723.60151765647
SC000,0,STUDY1,27,0,326730.0588035315
SC000,0,STUDY1,28,0,326736.6040233745
SC000,0,STUDY1,29,0,326743.6092178945
SC000,0,STUDY1,30,0,326751.0525296025
SC000,0,STUDY1,31,0,326757.489617268
SC000,0,STUDY1,32,0,326764.160203653
SC000,0,STUDY1,33,0,326770.665625543
SC000,0,STUDY1,34,0,326777.4531087315
SC000,0,STUDY1,35,0,326783.808748033
SC000,0,STUDY1,36,0,326790.639502421
SC000,0,STUDY1,37,0,326798.0874237725
SC000,0,STUDY1,38,0,326804.7555764605
SC000,0,STUDY1,39,0,326811.951194406
SC000,0,STUDY1,40,0,326818.5397057575
SC000,0,STUDY1,41,0,326824.81650202547
SC000,0,STUDY1,42,0,326831.372493682
SC000,0,STUDY1,43,0,326837.682053969
SC000,0,STUDY1,44,0,326844.82476040104
SC000,0,STUDY1,45,0,326851.535700201
SC000,0,STUDY1,46,0,326857.917690966
SC000,0,STUDY1,47,0,326865.168296364
SC000,0,STUDY1,48,0,326871.65799279197
SC000,0,STUDY1,49,0,326878.48467715504
SC000,0,STUDY1,50,0,326885.2663969125
SC000,0,STUDY1,51,0,326892.0671470155
SC000,0,STUDY1,52,0,326898.79045
SC000,0,STUDY1,53,0,326905.9809925305
SC000,0,STUDY1,54,0,326912.61211458
SC000,0,STUDY1,55,0,326920.27360506554
SC000,0,STUDY1,56,0,326927.273153694
SC000,0,STUDY1,57,0,326933.785753078
SC000,0,STUDY1,58,0,326940.193727597
SC000,0,STUDY1,59,0,326946.73243053805
SC000,0,STUDY1,60,0,326953.417942667
SC000,0,STUDY1,61,0,326960.564016619
SC000,0,STUDY1,62,0,326967.71456346347
SC000,0,STUDY1,63,0,326974.467206089
SC000,0,STUDY1,64,0,326981.0623485405
SC000,0,STUDY1,65,0,326988.100406253
SC000,0,STUDY1,66,0,326995.1140628185
SC000,0,STUDY1,67,0,327002.4606227535
SC000,0,STUDY1,68,0,327008.90925240447
SC000,0,STUDY1,69,0,327015.842345304
SC000,0,STUDY1,70,0,327022.4443664305
SC000,0,STUDY1,71,0,327028.7891490405
SC000,0,STUDY1,72,0,327035.3086152305
SC000,0,STUDY1,73,0,327042.0942861645
SC000,0,STUDY1,74,0,327049.8844675455
SC000,0,STUDY1,75,0,327056.70940663
SC000,0,STUDY1,76,0,327064.74369334104
SC000,0,STUDY1,77,0,327174.7925827345
SC000,0,STUDY1,78,0,327181.425616945
SC000,0,STUDY1,79,0,327187.5279003575
SC000,0,STUDY1,80,0,327194.9508065395
SC000,0,STUDY1,81,0,327201.381187662
SC000,0,STUDY1,82,0,327208.370243097
SC000,0,STUDY1,83,0,327214.57025301
SC000,0,STUDY1,84,0,327221.4080924475
SC000,0,STUDY1,85,0,327227.727670572
SC000,0,STUDY1,86,0,327234.364071318
SC000,0,STUDY1,87,0,327240.0965366215
SC000,0,STUDY1,88,0,327246.648686663
SC000,0,STUDY1,89,0,327253.62229320453
SC000,0,STUDY1,90,0,327259.841802986
SC000,0,STUDY1,91,0,327266.4580612515
SC000,0,STUDY1,92,0,327273.79593048396
SC000,0,STUDY1,93,0,327279.8282049305
SC000,0,STUDY1,94,0,327286.580481661
SC000,0,STUDY1,95,0,327293.627082734
SC000,0,STUDY1,96,0,327299.92834851705
SC000,0,STUDY1,97,0,327306.9015254285
SC000,0,STUDY1,98,0,327314.188585715
SC000,0,STUDY1,99,0,327320.83090196655
SC000,0,STUDY1,100,0,327328.0868818285
SC000,0,STUDY1,101,0,327334.962763801
SC000,0,STUDY1,102,0,327342.56553215254
SC000,0,STUDY1,103,0,327349.674531947
SC000,0,STUDY1,104,0,327356.5181831145
SC000,0,STUDY1,105,0,327363.090051079
SC000,0,STUDY1,106,0,327369.9622647605
SC000,0,STUDY1,107,0,327376.4341834535
SC000,0,STUDY1,108,0,327382.97634197946
SC000,0,STUDY1,109,0,327389.53021234355
SC000,0,STUDY1,110,0,327395.8435549365
SC000,0,STUDY1,111,0,327402.37182317255
SC000,0,STUDY1,112,0,327409.596449549
SC000,0,STUDY1,113,0,327416.375539307
SC000,0,STUDY1,114,0,327423.306833019
SC000,0,STUDY1,115,0,327431.12431963754
SC000,0,STUDY1,116,0,327437.6608884445
SC000,0,STUDY1,117,0,327444.504666655
