subject,session,experiment_phase,event,trial_index,noun,noun_type,noun_category,environment,test_condition,response,time_to_respond,log_num,log_time
SC000,0,STUDY1,ENCODING_LONG,0,STARFISH,ANIMATE,aquatic_species,beach,SAME,A,1646.54426346533,0,326539.90196890547
SC000,0,STUDY1,ENCODING_LONG,1,SWEATER,INANIMATE,clothing,canyon,REARRANGED,S,2026.3932705274783,0,326546.9655656755
SC000,0,STUDY1,ENCODING_LONG,2,PIG,ANIMATE,mammals,sand_dunes,REARRANGED,A,2731.5405050176196,0,326554.724498473
SC000,0,STUDY1,ENCODING_LONG,3,JELLYFISH,ANIMATE,aquatic_species,beach,REARRANGED,A,2042.125987529289,0,326561.7928325245
SC000,0,STUDY1,ENCODING_LONG,4,TOILET,INANIMATE,furniture,sand_dunes,SAME,S,1870.8325129700825,0,326568.694964426
SC000,0,STUDY1,ENCODING_LONG,5,SKUNK,ANIMATE,mammals,beach,SAME,A,1827.747676987201,0,326575.549750969
SC000,0,STUDY1,ENCODING_LONG,6,OVERALLS,INANIMATE,clothing,beach,SAME,S,1757.8370559494942,0,326582.338971235
SC000,0,STUDY1,ENCODING_LONG,7,PARROT,ANIMATE,birds,canyon,SAME,A,2136.8551625637338,0,326589.50184078154
SC000,0,STUDY1,ENCODING_LONG,8,APPLE,INANIMATE,food,beach,REARRANGED,S,1457.588458491955,0,326595.9915070675
SC000,0,STUDY1,ENCODING_LONG,9,WOLF,ANIMATE,mammals,canyon,SAME,A,2327.182351029478,0,326603.348667706
SC000,0,STUDY1,ENCODING_LONG,10,TABLE,INANIMATE,furniture,canyon,SAME,S,1925.8206970407628,0,326610.300145342
SC000,0,STUDY1,ENCODING_LONG,11,SHRIMP,ANIMATE,aquatic_species,sand_dunes,SAME,A,1429.1519680409692,0,326616.755603738
SC000,0,STUDY1,ENCODING_LONG,12,MITTEN,INANIMATE,clothing,canyon,SAME,S,3268.5888555133715,0,326625.0540068955
SC000,0,STUDY1,ENCODING_LONG,13,MUFFIN,INANIMATE,food,sand_dunes,REARRANGED,S,2851.419418002479,0,326632.948713831
SC000,0,STUDY1,ENCODING_LONG,14,HONEY,INANIMATE,food,canyon,SAME,S,2497.6215100032277,0,326640.470037409
SC000,0,STUDY1,ENCODING_LONG,15,CARPENTER,ANIMATE,people,beach,SAME,A,2071.206928056199,0,326647.58113397704
SC000,0,STUDY1,ENCODING_LONG,16,WHALE,ANIMATE,aquatic_species,canyon,SAME,S,2055.801214009989,0,326654.664614037
SC000,0,STUDY1,ENCODING_LONG,17,PIZZA,INANIMATE,food,canyon,REARRANGED,S,1528.6236875108443,0,326661.2241879275
SC000,0,STUDY1,ENCODING_LONG,18,FLAMINGO,ANIMATE,birds,sand_dunes,REARRANGED,A,1823.78785853507,0,326668.07644258754
SC000,0,STUDY1,ENCODING_LONG,19,GIRAFFE,ANIMATE,mammals,beach,SAME,A,1667.0931880362332,0,326674.770974513
SC000,0,STUDY1,ENCODING_LONG,20,YOGURT,INANIMATE,food,canyon,SAME,S,1459.8807464935817,0,326681.2710886245
SC000,0,STUDY1,ENCODING_LONG,21,NECKLACE,INANIMATE,clothing,sand_dunes,SAME,S,2158.625790500082,0,326688.4565170295
SC000,0,STUDY1,ENCODING_LONG,22,HAWK,ANIMATE,birds,canyon,REARRANGED,A,1827.6238964754157,0,326695.3154693895
SC000,0,STUDY1,ENCODING_LONG,23,PRIEST,ANIMATE,people,sand_dunes,REARRANGED,A,1898.818596964702,0,326702.238909792
SC000,0,STUDY1,ENCODING_LONG,24,PILOT,ANIMATE,people,beach,REARRANGED,A,2762.093604018446,0,326710.033550256
SC000,0,STUDY1,ENCODING_LONG,25,CHAIR,INANIMATE,furniture,canyon,REARRANGED,S,1899.0168675081804,0,326716.9728385065
SC000,0,STUDY1,ENCODING_LONG,26,SHARK,ANIMATE,aquatic_species,sand_dunes,SAME,A,1604.270899493713,0,326723.60151765647
SC000,0,STUDY1,ENCODING_LONG,27,STROLLER,INANIMATE,vehicles,canyon,REARRANGED,S,1417.5951154902577,0,326730.0588035315
SC000,0,STUDY1,ENCODING_LONG,28,SOCK,INANIMATE,clothing,canyon,SAME,S,1517.6171364728361,0,326736.6040233745
SC000,0,STUDY1,ENCODING_LONG,29,PILLOW,INANIMATE,furniture,sand_dunes,REARRANGED,A,1963.3593275211751,0,326743.6092178945
SC000,0,STUDY1,ENCODING_LONG,30,JUDGE,ANIMATE,people,canyon,REARRANGED,A,2415.615047502797,0,326751.0525296025
SC000,0,STUDY1,ENCODING_LONG,31,FOX,ANIMATE,mammals,canyon,REARRANGED,A,1409.0398009866476,0,326757.489617268
SC000,0,STUDY1,ENCODING_LONG,32,HELICOPTER,INANIMATE,vehicles,beach,SAME,S,1641.290845000185,0,326764.160203653
SC000,0,STUDY1,ENCODING_LONG,33,AMBULANCE,INANIMATE,vehicles,beach,SAME,S,1480.1474909763783,0,326770.665625543
SC000,0,STUDY1,ENCODING_LONG,34,TOGA,INANIMATE,clothing,sand_dunes,REARRANGED,S,1758.1943414988928,0,326777.4531087315
SC000,0,STUDY1,ENCODING_LONG,35,DANCER,ANIMATE,people,beach,SAME,A,1330.2746679983102,0,326783.808748033
SC000,0,STUDY1,ENCODING_LONG,36,OCTOPUS,ANIMATE,aquatic_species,canyon,SAME,A,1803.5342390066944,0,326790.639502421
SC000,0,STUDY1,ENCODING_LONG,37,WAGON,INANIMATE,vehicles,sand_dunes,SAME,S,2419.686178502161,0,326798.0874237725
SC000,0,STUDY1,ENCODING_LONG,38,WOODPECKER,ANIMATE,birds,sand_dunes,SAME,A,1625.3675395273603,0,326804.7555764605
SC000,0,STUDY1,ENCODING_LONG,39,TURKEY,ANIMATE,birds,beach,SAME,A,2169.1188950208016,0,326811.951194406
SC000,0,STUDY1,ENCODING_LONG,40,STOOL,INANIMATE,furniture,sand_dunes,SAME,S,1563.3961645071395,0,326818.5397057575
