subject,session,experiment_phase,trial_index,pulse_time,log_num,log_time
SC000,0,SYNC_PULSE_TEST,-1,326512749.237035,0,326512.740517723
SC000,0,SYNC_PULSE_TEST,-1,326513741.948947,0,326513.740517723
SC000,0,SYNC_PULSE_TEST,-1,326514742.15832204,0,326514.740517723
SC000,0,SYNC_PULSE_TEST,-1,326515740.964514,0,326515.740517723
SC000,0,SYNC_PULSE_TEST,-1,326516741.775953,0,326516.740517723
SC000,0,SYNC_PULSE_TEST,-1,326517742.032911,0,326517.740517723
SC000,0,SYNC_PULSE_TEST,-1,326518742.148603,0,326518.740517723
SC000,0,SYNC_PULSE_TEST,-1,326519742.339401,0,326519.740517723
SC000,0,SYNC_PULSE_TEST,-1,326520741.599544,0,326520.740517723
SC000,0,SYNC_PULSE_TEST,-1,326521742.40411603,0,326521.740517723
SC000,0,STUDY1,0,326536211.17927796,0,326539.90196890547
SC000,0,STUDY1,1,326542902.145761,0,326546.9655656755
SC000,0,STUDY1,2,326549970.939404,0,326554.724498473
SC000,0,STUDY1,3,326557729.183501,0,326561.7928325245
SC000,0,STUDY1,4,326564793.21505296,0,326568.694964426
SC000,0,STUDY1,5,326571702.021289,0,326575.549750969
SC000,0,STUDY1,6,326578549.88286597,0,326582.338971235
SC000,0,STUDY1,7,326585345.035837,0,326589.50184078154
SC000,0,STUDY1,8,326592502.11982095,0,326595.9915070675
SC000,0,STUDY1,9,326598991.90699697,0,326603.348667706
SC000,0,STUDY1,10,326606354.628606,0,326610.300145342
SC000,0,STUDY1,11,326613305.050285,0,326616.755603738
SC000,0,STUDY1,12,326619755.889726,0,326625.0540068955
SC000,0,STUDY1,13,326628055.241518,0,326632.948713831
SC000,0,STUDY1,14,326635953.007065,0,326640.470037409
SC000,0,STUDY1,15,326643470.21984404,0,326647.58113397704
SC000,0,STUDY1,16,326650581.41741,0,326654.664614037
SC000,0,STUDY1,17,326657665.051122,0,326661.2241879275
SC000,0,STUDY1,18,326664224.634904,0,326668.07644258754
SC000,0,STUDY1,19,326671076.625104,0,326674.770974513
SC000,0,STUDY1,20,326677771.294225,0,326681.2710886245
SC000,0,STUDY1,21,326684279.01652,0,326688.4565170295
SC000,0,STUDY1,22,326691457.11763805,0,326695.3154693895
SC000,0,STUDY1,23,326698320.564912,0,326702.238909792
SC000,0,STUDY1,24,326705239.439048,0,326710.033550256
SC000,0,STUDY1,25,326713033.78394395,0,326716.9728385065
SC000,0,STUDY1,26,326719978.043,0,326723.60151765647
SC000,0,STUDY1,27,326726601.725115,0,326730.0588035315
SC000,0,STUDY1,28,326733059.24455297,0,326736.6040233745
SC000,0,STUDY1,29,326739604.834975,0,326743.6092178945
SC000,0,STUDY1,30,326746609.664073,0,326751.0525296025
SC000,0,STUDY1,31,326754060.367713,0,326757.489617268
SC000,0,STUDY1,32,326760490.07166797,0,326764.160203653
SC000,0,STUDY1,33,326767165.65684503,0,326770.665625543
SC000,0,STUDY1,34,326773672.135607,0,326777.4531087315
SC000,0,STUDY1,35,326780459.059079,0,326783.808748033
SC000,0,STUDY1,36,326786808.89089596,0,326790.639502421
SC000,0,STUDY1,37,326793640.081089,0,326798.0874237725
SC000,0,STUDY1,38,326801088.12613904,0,326804.7555764605
SC000,0,STUDY1,39,326807761.748669,0,326811.951194406
SC000,0,STUDY1,40,326814956.611616,0,326818.5397057575
SC000,0,STUDY1,41,326821539.797547,0,326824.81650202547
SC000,0,STUDY1,42,326827822.641916,0,326831.372493682
SC000,0,STUDY1,43,326834372.986394,0,326837.682053969
SC000,0,STUDY1,44,326840686.683599,0,326844.82476040104
SC000,0,STUDY1,45,326847831.957183,0,326851.535700201
SC000,0,STUDY1,46,326854535.837754,0,326857.917690966
