subject,session,experiment_phase,event,trial_index,sync_time,orient_time,trial_time,time_to_respond,log_num,log_time
SC000,0,STUDY1,ENCODING_LONG,0,326536211.17927796,326536255.424642,326538222.449562,1646.54426346533,0,326539.90196890547
SC000,0,STUDY1,ENCODING_LONG,1,326542902.145761,326542939.172405,326544921.480691,2026.3932705274783,0,326546.9655656755
SC000,0,STUDY1,ENCODING_LONG,2,326549970.939404,326549992.957968,326551979.66532004,2731.5405050176196,0,326554.724498473
SC000,0,STUDY1,ENCODING_LONG,3,326557729.183501,326557750.706537,326559740.14143795,2042.125987529289,0,326561.7928325245
SC000,0,STUDY1,ENCODING_LONG,4,326564793.21505296,326564824.131913,326566817.305881,1870.8325129700825,0,326568.694964426
SC000,0,STUDY1,ENCODING_LONG,5,326571702.021289,326571722.003292,326573710.260145,1827.747676987201,0,326575.549750969
SC000,0,STUDY1,ENCODING_LONG,6,326578549.88286597,326578581.134179,326580568.98807,1757.8370559494942,0,326582.338971235
SC000,0,STUDY1,ENCODING_LONG,7,326585345.035837,326585364.98561895,326587352.977434,2136.8551625637338,0,326589.50184078154
SC000,0,STUDY1,ENCODING_LONG,8,326592502.11982095,326592533.918609,326594522.074084,1457.588458491955,0,326595.9915070675
SC000,0,STUDY1,ENCODING_LONG,9,326598991.90699697,326599021.48535496,326601010.623103,2327.182351029478,0,326603.348667706
SC000,0,STUDY1,ENCODING_LONG,10,326606354.628606,326606374.324645,326608362.437313,1925.8206970407628,0,326610.300145342
SC000,0,STUDY1,ENCODING_LONG,11,326613305.050285,326613326.45176995,326615317.96993405,1429.1519680409692,0,326616.755603738
SC000,0,STUDY1,ENCODING_LONG,12,326619755.889726,326619785.41804,326621773.772661,3268.5888555133715,0,326625.0540068955
SC000,0,STUDY1,ENCODING_LONG,13,326628055.241518,326628097.29441303,326630068.48728204,2851.419418002479,0,326632.948713831
SC000,0,STUDY1,ENCODING_LONG,14,326635953.007065,326635972.415899,326637960.39511895,2497.6215100032277,0,326640.470037409
SC000,0,STUDY1,ENCODING_LONG,15,326643470.21984404,326643509.927049,326645485.340696,2071.206928056199,0,326647.58113397704
SC000,0,STUDY1,ENCODING_LONG,16,326650581.41741,326650608.812823,326652601.60337704,2055.801214009989,0,326654.664614037
SC000,0,STUDY1,ENCODING_LONG,17,326657665.051122,326657695.56424,326659683.915393,1528.6236875108443,0,326661.2241879275
SC000,0,STUDY1,ENCODING_LONG,18,326664224.634904,326664252.654729,326666241.951433,1823.78785853507,0,326668.07644258754
SC000,0,STUDY1,ENCODING_LONG,19,326671076.625104,326671103.881325,326673092.038219,1667.0931880362332,0,326674.770974513
SC000,0,STUDY1,ENCODING_LONG,20,326677771.294225,326677811.207878,326679783.058416,1459.8807464935817,0,326681.2710886245
SC000,0,STUDY1,ENCODING_LONG,21,326684279.01652,326684297.891239,326686285.876389,2158.625790500082,0,326688.4565170295
SC000,0,STUDY1,ENCODING_LONG,22,326691457.11763805,326691487.845493,326693476.042924,1827.6238964754157,0,326695.3154693895
SC000,0,STUDY1,ENCODING_LONG,23,326698320.564912,326698340.091195,326700330.646721,1898.818596964702,0,326702.238909792
SC000,0,STUDY1,ENCODING_LONG,24,326705239.439048,326705271.456652,326707262.319554,2762.093604018446,0,326710.033550256
SC000,0,STUDY1,ENCODING_LONG,25,326713033.78394395,326713073.821639,326715046.577465,1899.0168675081804,0,326716.9728385065
SC000,0,STUDY1,ENCODING_LONG,26,326719978.043,326719997.246757,326721986.824656,1604.270899493713,0,326723.60151765647
SC000,0,STUDY1,ENCODING_LONG,27,326726601.725115,326726641.20841604,326728617.95617795,1417.5951154902577,0,326730.0588035315
SC000,0,STUDY1,ENCODING_LONG,28,326733059.24455297,326733086.406238,326735074.332538,1517.6171364728361,0,326736.6040233745
SC000,0,STUDY1,ENCODING_LONG,29,326739604.834975,326739645.858567,326741618.75349,1963.3593275211751,0,326743.6092178945
SC000,0,STUDY1,ENCODING_LONG,30,326746609.664073,326746636.91455495,326748630.233417,2415.615047502797,0,326751.0525296025
SC000,0,STUDY1,ENCODING_LONG,31,326754060.367713,326754080.57746696,326756068.447873,1409.0398009866476,0,326757.489617268
SC000,0,STUDY1,ENCODING_LONG,32,326760490.07166797,326760518.912808,326762506.877332,1641.290845000185,0,326764.160203653
SC000,0,STUDY1,ENCODING_LONG,33,326767165.65684503,326767185.478052,326769173.24162894,1480.1474909763783,0,326770.665625543
SC000,0,STUDY1,ENCODING_LONG,34,326773672.135607,326773694.91438997,326775682.903925,1758.1943414988928,0,326777.4531087315
SC000,0,STUDY1,ENCODING_LONG,35,326780459.059079,326780478.473365,326782466.429693,1330.2746679983102,0,326783.808748033
SC000,0,STUDY1,ENCODING_LONG,36,326786808.89089596,326786835.968182,326788824.780692,1803.5342390066944,0,326790.639502421
SC000,0,STUDY1,ENCODING_LONG,37,326793640.081089,326793667.737594,326795657.202828,2419.686178502161,0,326798.0874237725
SC000,0,STUDY1,ENCODING_LONG,38,326801088.12613904,326801130.20892096,326803101.538626,1625.3675395273603,0,326804.7555764605
SC000,0,STUDY1,ENCODING_LONG,39,326807761.748669,326807782.075511,326809770.112387,2169.1188950208016,0,326811.951194406
SC000,0,STUDY1,ENCODING_LONG,40,326814956.611616,326814976.309593,326816965.334213,1563.3961645071395,0,326818.5397057575
SC000,0,STUDY1,ENCODING_LONG,41,326821539.797547,326821569.68106496,326823557.512565,1246.8209604849108,0,326824.81650202547
SC000,0,STUDY1,ENCODING_LONG,42,326827822.641916,326827842.17534,326829830.796197,1530.3183420328423,0,326831.372493682
SC000,0,STUDY1,ENCODING_LONG,43,326834372.986394,326834401.80884,326836389.412086,1280.245129019022,0,326837.682053969
SC000,0,STUDY1,ENCODING_LONG,44,326840686.683599,326840706.384684,326842700.32566905,2118.3757170219906,0,326844.82476040104
SC000,0,STUDY1,ENCODING_LONG,45,326847831.957183,326847852.293345,326849842.009145,1683.4068560274318,0,326851.535700201
SC000,0,STUDY1,ENCODING_LONG,46,326854535.837754,326854577.399788,326856548.764802,1340.2911779703572,0,326857.917690966
SC000,0,STUDY1,ENCODING_LONG,47,326860918.311816,326860945.735558,326862933.68060005,2222.5608060252853,0,326865.168296364
SC000,0,STUDY1,ENCODING_LONG,48,326868168.57545,326868195.86823004,326870183.99265003,1462.1245619491674,0,326871.65799279197
SC000,0,STUDY1,ENCODING_LONG,49,326874658.281157,326874687.20432705,326876680.63467395,1797.4728280096315,0,326878.48467715504
SC000,0,STUDY1,ENCODING_LONG,50,326881492.19007903,326881512.372782,326883500.74757797,1754.0241305250674,0,326885.2663969125
SC000,0,STUDY1,ENCODING_LONG,51,326888267.371828,326888304.17599404,326890275.7273,1762.9710214678198,0,326892.0671470155
SC000,0,STUDY1,ENCODING_LONG,52,326895067.73127097,326895097.379753,326897085.566287,1693.0702469544485,0,326898.79045
SC000,0,STUDY1,ENCODING_LONG,53,326901790.639122,326901830.36897,326903803.047193,2150.623560475651,0,326905.9809925305
SC000,0,STUDY1,ENCODING_LONG,54,326908985.992636,326909005.47822404,326910996.80422,1606.6363559802994,0,326912.61211458
SC000,0,STUDY1,ENCODING_LONG,55,326915612.53510004,326915642.664905,326917630.44529897,2630.940160539467,0,326920.27360506554
SC000,0,STUDY1,ENCODING_LONG,56,326923280.668192,326923300.784779,326925289.086881,1972.3689149832353,0,326927.273153694
SC000,0,STUDY1,ENCODING_LONG,57,326930273.633366,326930300.99105704,326932289.06806195,1484.7620209911838,0,326933.785753078
SC000,0,STUDY1,ENCODING_LONG,58,326936786.189955,326936813.341646,326938802.779057,1380.3859510226175,0,326940.193727597
SC000,0,STUDY1,ENCODING_LONG,59,326943194.53719896,326943233.258774,326945205.827696,1499.1717640659772,0,326946.73243053805
SC000,0,STUDY1,ENCODING_LONG,60,326949732.828421,326949759.61231303,326951747.928952,1658.3303539664485,0,326953.417942667
SC000,0,STUDY1,ENCODING_LONG,61,326956425.652617,326956444.029558,326958433.20022696,2119.987061014399,0,326960.564016619
SC000,0,STUDY1,ENCODING_LONG,62,326963564.34191895,326963603.73457396,326965575.175027,2110.8288894756697,0,326967.71456346347
SC000,0,STUDY1,ENCODING_LONG,63,326970720.652156,326970740.440131,326972729.384157,1726.765958010219,0,326974.467206089
SC000,0,STUDY1,ENCODING_LONG,64,326977472.861266,326977494.587955,326979483.91643703,1567.7605855162255,0,326981.0623485405
SC000,0,STUDY1,ENCODING_LONG,65,326984062.904988,326984090.316838,326986079.06238,2010.0894150091335,0,326988.100406253
SC000,0,STUDY1,ENCODING_LONG,66,326991101.002795,326991128.71434,326993117.73982704,1985.3484785417095,0,326995.1140628185
SC000,0,STUDY1,ENCODING_LONG,67,326998114.851775,326998144.755986,327000132.92727494,2315.866767487023,0,327002.4606227535
SC000,0,STUDY1,ENCODING_LONG,68,327005466.02016,327005485.777501,327007475.258696,1423.4749034512788,0,327008.90925240447
SC000,0,STUDY1,ENCODING_LONG,69,327011909.86152,327011936.622117,327013925.983037,1905.7231869664975,0,327015.842345304
SC000,0,STUDY1,ENCODING_LONG,70,327018842.732083,327018870.80279803,327020862.121197,1573.5636324970983,0,327022.4443664305
SC000,0,STUDY1,ENCODING_LONG,71,327025444.931879,327025475.724846,327027463.729526,1313.42419446446,0,327028.7891490405
SC000,0,STUDY1,ENCODING_LONG,72,327031789.47078,327031816.490023,327033804.408602,1492.1252075000666,0,327035.3086152305
SC000,0,STUDY1,ENCODING_LONG,73,327038308.72186,327038336.44853,327040324.391442,1757.837634475436,0,327042.0942861645
SC000,0,STUDY1,ENCODING_LONG,74,327045094.767173,327045122.98082,327047111.711703,2761.486725474242,0,327049.8844675455
