subject,session,experiment_block,experiment_phase,trial_index,log_num,log_time
SC000,0,0,ENCODING,0,0,297995.25847710704
SC000,0,0,ENCODING,1,0,298016.25847710704
SC000,0,0,ENCODING,2,0,298037.25847710704
SC000,0,0,ENCODING,3,0,298061.25847710704
SC000,0,0,ENCODING,4,0,298085.25847710704
SC000,0,0,ENCODING,5,0,298109.25847710704
SC000,0,0,ENCODING,6,0,298130.25847710704
SC000,0,0,ENCODING,7,0,298154.25847710704
SC000,0,0,ENCODING,8,0,298178.25847710704
SC000,0,0,ENCODING,9,0,298199.25847710704
SC000,0,0,ENCODING,10,0,298223.25847710704
SC000,0,0,ENCODING,11,0,298244.25847710704
SC000,0,0,ENCODING,12,0,298268.25847710704
SC000,0,0,ENCODING,13,0,298289.25847710704
SC000,0,0,ENCODING,14,0,298313.25847710704
SC000,0,0,ENCODING,15,0,298334.25847710704
SC000,0,0,ENCODING,16,0,298355.25847710704
SC000,0,0,ENCODING,17,0,298376.25847710704
SC000,0,0,ENCODING,18,0,298400.25847710704
SC000,0,0,ENCODING,19,0,298424.25847710704
SC000,0,0,ENCODING,20,0,298445.25847710704
SC000,0,0,ENCODING,21,0,298469.25847710704
SC000,0,0,ENCODING,22,0,298490.25847710704
SC000,0,0,ENCODING,23,0,298514.25847710704
SC000,0,0,RETRIEVAL,0,0,298565.8689490915
SC000,0,0,RETRIEVAL,1,0,298592.8689490915
SC000,0,0,RETRIEVAL,2,0,298619.8689490915
SC000,0,0,RETRIEVAL,3,0,298649.8689490915
SC000,0,0,RETRIEVAL,4,0,298676.8689490915
SC000,0,0,RETRIEVAL,5,0,298703.8689490915
SC000,0,0,RETRIEVAL,6,0,298733.8689490915
SC000,0,0,RETRIEVAL,7,0,298760.8689490915
SC000,0,0,RETRIEVAL,8,0,298787.8689490915
SC000,0,0,RETRIEVAL,9,0,298814.8689490915
SC000,0,0,RETRIEVAL,10,0,298841.8689490915
SC000,0,0,RETRIEVAL,11,0,298868.8689490915
SC000,0,0,RETRIEVAL,12,0,298895.8689490915
SC000,0,0,RETRIEVAL,13,0,298922.8689490915
SC000,0,0,RETRIEVAL,14,0,298952.8689490915
SC000,0,0,RETRIEVAL,15,0,298982.8689490915
SC000,0,0,RETRIEVAL,16,0,299009.8689490915
SC000,0,0,RETRIEVAL,17,0,299036.8689490915
SC000,0,0,RETRIEVAL,18,0,299063.8689490915
SC000,0,0,RETRIEVAL,19,0,299090.8689490915
SC000,0,0,RETRIEVAL,20,0,299117.8689490915
SC000,0,0,RETRIEVAL,21,0,299144.8689490915
SC000,0,0,RETRIEVAL,22,0,299171.8689490915
SC000,0,0,RETRIEVAL,23,0,299198.8689490915
