subject,session,experiment_block,experiment_phase,trial_index,pulse_time,log_num,log_time
SC000,0,-1,SYNC_PULSE_TEST,-1,297959209.199898,0,297959.2031839595
SC000,0,-1,SYNC_PULSE_TEST,-1,297960203.796187,0,297960.2031839595
SC000,0,-1,SYNC_PULSE_TEST,-1,297961203.783591,0,297961.2031839595
SC000,0,-1,SYNC_PULSE_TEST,-1,297962203.713502,0,297962.2031839595
SC000,0,-1,SYNC_PULSE_TEST,-1,297963203.73585904,0,297963.2031839595
SC000,0,-1,SYNC_PULSE_TEST,-1,297964203.760524,0,297964.2031839595
SC000,0,-1,SYNC_PULSE_TEST,-1,297965203.696715,0,297965.2031839595
SC000,0,-1,SYNC_PULSE_TEST,-1,297966203.748069,0,297966.2031839595
SC000,0,-1,SYNC_PULSE_TEST,-1,297967203.543287,0,297967.2031839595
SC000,0,-1,SYNC_PULSE_TEST,-1,297968203.793535,0,297968.2031839595
SC000,0,0,ENCODING,0,297977263.17321,0,297995.25847710704
SC000,0,0,ENCODING,1,297998259.115373,0,298016.25847710704
SC000,0,0,ENCODING,2,298019258.93192,0,298037.25847710704
SC000,0,0,ENCODING,3,298040263.98245895,0,298061.25847710704
SC000,0,0,ENCODING,4,298064259.21413,0,298085.25847710704
SC000,0,0,ENCODING,5,298088258.766698,0,298109.25847710704
SC000,0,0,ENCODING,6,298112258.58377004,0,298130.25847710704
SC000,0,0,ENCODING,7,298133259.426338,0,298154.25847710704
SC000,0,0,ENCODING,8,298157258.790511,0,298178.25847710704
SC000,0,0,ENCODING,9,298181258.95649004,0,298199.25847710704
SC000,0,0,ENCODING,10,298202258.99532,0,298223.25847710704
SC000,0,0,ENCODING,11,298226258.67872804,0,298244.25847710704
SC000,0,0,ENCODING,12,298247259.03119504,0,298268.25847710704
SC000,0,0,ENCODING,13,298271258.637551,0,298289.25847710704
SC000,0,0,ENCODING,14,298292258.94127697,0,298313.25847710704
SC000,0,0,ENCODING,15,298316258.697482,0,298334.25847710704
SC000,0,0,ENCODING,16,298337258.672665,0,298355.25847710704
SC000,0,0,ENCODING,17,298358258.81175596,0,298376.25847710704
SC000,0,0,ENCODING,18,298379258.655943,0,298400.25847710704
SC000,0,0,ENCODING,19,298403258.813592,0,298424.25847710704
SC000,0,0,ENCODING,20,298427258.754453,0,298445.25847710704
SC000,0,0,ENCODING,21,298448258.959364,0,298469.25847710704
SC000,0,0,ENCODING,22,298472259.11771697,0,298490.25847710704
SC000,0,0,ENCODING,23,298493258.755515,0,298514.25847710704
SC000,0,0,RETRIEVAL,0,298541872.875673,0,298565.8689490915
SC000,0,0,RETRIEVAL,1,298568869.25103897,0,298592.8689490915
SC000,0,0,RETRIEVAL,2,298595875.833782,0,298619.8689490915
SC000,0,0,RETRIEVAL,3,298622869.842377,0,298649.8689490915
SC000,0,0,RETRIEVAL,4,298652869.528289,0,298676.8689490915
SC000,0,0,RETRIEVAL,5,298679869.715015,0,298703.8689490915
SC000,0,0,RETRIEVAL,6,298706869.301893,0,298733.8689490915
SC000,0,0,RETRIEVAL,7,298736876.496211,0,298760.8689490915
SC000,0,0,RETRIEVAL,8,298763869.482572,0,298787.8689490915
SC000,0,0,RETRIEVAL,9,298790869.311299,0,298814.8689490915
SC000,0,0,RETRIEVAL,10,298817869.69104296,0,298841.8689490915
SC000,0,0,RETRIEVAL,11,298844869.508869,0,298868.8689490915
SC000,0,0,RETRIEVAL,12,298871869.481426,0,298895.8689490915
SC000,0,0,RETRIEVAL,13,298898870.344252,0,298922.8689490915
SC000,0,0,RETRIEVAL,14,298925869.667499,0,298952.8689490915
SC000,0,0,RETRIEVAL,15,298955869.191094,0,298982.8689490915
SC000,0,0,RETRIEVAL,16,298985869.314363,0,299009.8689490915
SC000,0,0,RETRIEVAL,17,299012869.037964,0,299036.8689490915
SC000,0,0,RETRIEVAL,18,299039869.040551,0,299063.8689490915
SC000,0,0,RETRIEVAL,19,299066869.177323,0,299090.8689490915
SC000,0,0,RETRIEVAL,20,299093869.27320904,0,299117.8689490915
SC000,0,0,RETRIEVAL,21,299120869.261608,0,299144.8689490915
SC000,0,0,RETRIEVAL,22,299147869.521572,0,299171.8689490915
SC000,0,0,RETRIEVAL,23,299174870.35528404,0,299198.8689490915
