subject,session,experiment_block,experiment_phase,trial_index,sync_time,orient_time,trial_time,item_time,interval_time,interval,face_time,item_question_time,item_time_to_respond,face_question_time,face_time_to_respond,interval_question_time,interval_time_to_respond,log_num,log_time
SC000,0,0,ENCODING,0,297977263.17321,297977308.075785,297980279.797122,297980279.797122,297983274.756219,3000,297986269.937111,297991276.035402,1340.769388480112,-999,-999,-999,-999,0,297995.25847710704
SC000,0,0,ENCODING,1,297998259.115373,297998297.713431,298001269.515086,298001269.515086,298004274.01913303,3000,298007276.276978,298012274.241831,1597.904147929512,-999,-999,-999,-999,0,298016.25847710704
SC000,0,0,ENCODING,2,298019258.93192,298019294.276701,298022265.881886,298022265.881886,298025273.34066105,3000,298028280.025078,298033275.203342,947.612255520653,-999,-999,-999,-999,0,298037.25847710704
SC000,0,0,ENCODING,3,298040263.98245895,298040284.403771,298043273.4977,298043273.4977,298046279.07291603,6000,298052268.623425,298057279.620901,1315.9094444708899,-999,-999,-999,-999,0,298061.25847710704
SC000,0,0,ENCODING,4,298064259.21413,298064298.178796,298067273.111063,298067273.111063,298070277.84826297,6000,298076271.080302,298081264.32105297,878.5851200227626,-999,-999,-999,-999,0,298085.25847710704
SC000,0,0,ENCODING,5,298088258.766698,298088300.579798,298091272.459012,298091272.459012,298094277.70336396,6000,298100270.68348503,298105265.245202,1623.172395513393,-999,-999,-999,-999,0,298109.25847710704
SC000,0,0,ENCODING,6,298112258.58377004,298112294.14789903,298115267.92865604,298115267.92865604,298118272.933845,3000,298121268.005883,298126263.911537,1338.474047021009,-999,-999,-999,-999,0,298130.25847710704
SC000,0,0,ENCODING,7,298133259.426338,298133292.230559,298136263.659949,298136263.659949,298139271.96763504,6000,298145281.235282,298150272.67051196,1103.8138290168718,-999,-999,-999,-999,0,298154.25847710704
SC000,0,0,ENCODING,8,298157258.790511,298157288.83058,298160276.93184304,298160276.93184304,298163265.226336,6000,298169274.80833805,298174271.64643997,1154.9056765506975,-999,-999,-999,-999,0,298178.25847710704
SC000,0,0,ENCODING,9,298181258.95649004,298181295.30439603,298184266.865229,298184266.865229,298187271.337487,3000,298190276.111924,298195272.936148,1360.2618430159055,-999,-999,-999,-999,0,298199.25847710704
SC000,0,0,ENCODING,10,298202258.99532,298202286.238293,298205274.331701,298205274.331701,298208279.09669197,6000,298214269.257687,298219272.76296794,899.2276780190878,-999,-999,-999,-999,0,298223.25847710704
SC000,0,0,ENCODING,11,298226258.67872804,298226291.204731,298229279.617477,298229279.617477,298232270.460621,3000,298235273.861857,298240270.651481,469.7490555117838,-999,-999,-999,-999,0,298244.25847710704
SC000,0,0,ENCODING,12,298247259.03119504,298247289.686194,298250277.822732,298250277.822732,298253266.084993,6000,298259282.006944,298264275.16545403,1561.7602419806644,-999,-999,-999,-999,0,298268.25847710704
SC000,0,0,ENCODING,13,298271258.637551,298271294.968058,298274266.84213305,298274266.84213305,298277271.700098,3000,298280280.28611404,298285277.66885495,963.1739194737747,-999,-999,-999,-999,0,298289.25847710704
SC000,0,0,ENCODING,14,298292258.94127697,298292293.837981,298295266.001337,298295266.001337,298298270.718448,6000,298304268.123336,298309278.265418,810.1536505273543,-999,-999,-999,-999,0,298313.25847710704
SC000,0,0,ENCODING,15,298316258.697482,298316295.400759,298319269.61194,298319269.61194,298322274.589599,3000,298325279.825094,298330276.93737197,1495.8267899928614,-999,-999,-999,-999,0,298334.25847710704
SC000,0,0,ENCODING,16,298337258.672665,298337294.41924,298340269.181215,298340269.181215,298343273.88476706,3000,298346281.4712,298351278.04067105,648.9470200031064,-999,-999,-999,-999,0,298355.25847710704
SC000,0,0,ENCODING,17,298358258.81175596,298358298.13837105,298361269.35045004,298361269.35045004,298364274.444084,3000,298367281.899203,298372277.243444,499.9825540580787,-999,-999,-999,-999,0,298376.25847710704
SC000,0,0,ENCODING,18,298379258.655943,298379289.03608197,298382277.67163396,298382277.67163396,298385268.717202,6000,298391275.969287,298396270.058324,909.293474513106,-999,-999,-999,-999,0,298400.25847710704
SC000,0,0,ENCODING,19,298403258.813592,298403301.111793,298406274.131653,298406274.131653,298409278.876445,6000,298415266.721575,298420276.65818,1533.7260364904068,-999,-999,-999,-999,0,298424.25847710704
SC000,0,0,ENCODING,20,298427258.754453,298427294.922863,298430267.89160603,298430267.89160603,298433272.56835103,3000,298436279.505878,298441275.40293205,1004.1429200791754,-999,-999,-999,-999,0,298445.25847710704
