subject,session,experiment_block,experiment_phase,sequence_index,log_num,log_time
SC000,0,0,ENCODING,0,0,281681.3089356175
SC000,0,0,ENCODING,1,0,281696.3089356175
SC000,0,0,ENCODING,2,0,281709.3089356175
SC000,0,0,ENCODING,3,0,281724.3089356175
SC000,0,0,RETRIEVAL,2,0,281768.7017347315
SC000,0,1,ENCODING,0,0,281785.522408203
SC000,0,1,ENCODING,1,0,281798.522408203
SC000,0,1,ENCODING,2,0,281811.522408203
SC000,0,1,ENCODING,3,0,281826.522408203
SC000,0,1,RETRIEVAL,2,0,281870.683719569
SC000,0,2,ENCODING,0,0,281887.5264663445
SC000,0,2,ENCODING,1,0,281900.5264663445
SC000,0,2,ENCODING,2,0,281915.5264663445
SC000,0,2,ENCODING,3,0,281928.5264663445
SC000,0,2,RETRIEVAL,1,0,281977.599137184
SC000,0,3,ENCODING,0,0,281994.86817120446
SC000,0,3,ENCODING,1,0,282009.86817120446
SC000,0,3,ENCODING,2,0,282022.86817120446
SC000,0,3,ENCODING,3,0,282035.86817120446
SC000,0,3,RETRIEVAL,0,0,282077.64814634505
SC000,0,4,ENCODING,0,0,282091.78730842145
SC000,0,4,ENCODING,1,0,282106.78730842145
SC000,0,4,ENCODING,2,0,282119.78730842145
SC000,0,4,ENCODING,3,0,282134.78730842145
SC000,0,4,RETRIEVAL,0,0,282174.396336397
