subject,session,experiment_block,experiment_phase,sequence_index,pulse_time,log_num,log_time
SC000,0,-1,SYNC_PULSE_TEST,-1,281638411.045959,0,281638.39429329603
SC000,0,-1,SYNC_PULSE_TEST,-1,281639394.952543,0,281639.39429329603
SC000,0,-1,SYNC_PULSE_TEST,-1,281640394.86568296,0,281640.39429329603
SC000,0,-1,SYNC_PULSE_TEST,-1,281641394.769993,0,281641.39429329603
SC000,0,-1,SYNC_PULSE_TEST,-1,281642394.952734,0,281642.39429329603
SC000,0,-1,SYNC_PULSE_TEST,-1,281643395.146142,0,281643.39429329603
SC000,0,-1,SYNC_PULSE_TEST,-1,281644394.87449497,0,281644.39429329603
SC000,0,-1,SYNC_PULSE_TEST,-1,281645394.869457,0,281645.39429329603
SC000,0,-1,SYNC_PULSE_TEST,-1,281646395.333843,0,281646.39429329603
SC000,0,-1,SYNC_PULSE_TEST,-1,281647394.79104203,0,281647.39429329603
SC000,0,0,ENCODING,0,281671313.073138,0,281681.3089356175
SC000,0,0,ENCODING,1,281684309.430116,0,281696.3089356175
SC000,0,0,ENCODING,2,281699309.518979,0,281709.3089356175
SC000,0,0,ENCODING,3,281712315.20689696,0,281724.3089356175
SC000,0,0,RETRIEVAL,2,281754077.613585,0,281768.7017347315
SC000,0,1,ENCODING,0,281773524.35336,0,281785.522408203
SC000,0,1,ENCODING,1,281788522.61750096,0,281798.522408203
SC000,0,1,ENCODING,2,281801522.744891,0,281811.522408203
SC000,0,1,ENCODING,3,281814522.66738,0,281826.522408203
SC000,0,1,RETRIEVAL,2,281851289.10903597,0,281870.683719569
SC000,0,2,ENCODING,0,281875529.16191196,0,281887.5264663445
SC000,0,2,ENCODING,1,281890526.561407,0,281900.5264663445
SC000,0,2,ENCODING,2,281903526.810283,0,281915.5264663445
SC000,0,2,ENCODING,3,281918527.136918,0,281928.5264663445
SC000,0,2,RETRIEVAL,1,281957569.465111,0,281977.599137184
SC000,0,3,ENCODING,0,281982871.867024,0,281994.86817120446
SC000,0,3,ENCODING,1,281997872.913577,0,282009.86817120446
SC000,0,3,ENCODING,2,282012868.306843,0,282022.86817120446
SC000,0,3,ENCODING,3,282025868.978483,0,282035.86817120446
SC000,0,3,RETRIEVAL,0,282061785.68101203,0,282077.64814634505
SC000,0,4,ENCODING,0,282081789.268588,0,282091.78730842145
SC000,0,4,ENCODING,1,282094787.871574,0,282106.78730842145
SC000,0,4,ENCODING,2,282109787.49500597,0,282119.78730842145
SC000,0,4,ENCODING,3,282122792.985634,0,282134.78730842145
SC000,0,4,RETRIEVAL,0,282160558.681427,0,282174.396336397
